X,Y,UNION,JURISDICCI,CAPITAL,FUENTE,XCOORD,YCOORD
4534557.499995767,6675750.9996082336,-2147483648,CORDOBA,CORDOBA,IGN,4534557.499996,6675750.999608
4535233.499995687,6675734.4996082261,-2147483648,CORDOBA,CORDOBA,IGN,4535233.499996,6675734.499608
4535251.99999568,6675805.9996082727,-2147483648,CORDOBA,CORDOBA,IGN,4535251.999996,6675805.999608
4535493.99999565,6675824.4996082801,-2147483648,CORDOBA,CORDOBA,IGN,4535493.999996,6675824.499608
4535866.99999561,6675908.4996083286,-2147483648,CORDOBA,CORDOBA,IGN,4535866.999996,6675908.499608
4536383.499995541,6675935.4996083537,-2147483648,CORDOBA,CORDOBA,IGN,4536383.499996,6675935.499608
4536836.499995489,6675797.99960827,-2147483648,CORDOBA,CORDOBA,IGN,4536836.499995,6675797.999608
4537328.499995423,6675820.4996082811,-2147483648,CORDOBA,CORDOBA,IGN,4537328.499995,6675820.499608
4537698.49999538,6675685.4996081991,-2147483648,CORDOBA,CORDOBA,IGN,4537698.499995,6675685.499608
4537788.499995367,6675423.9996080408,-2147483648,CORDOBA,CORDOBA,IGN,4537788.499995,6675423.999608
4538034.499995342,6675195.9996079011,-2147483648,CORDOBA,CORDOBA,IGN,4538034.499995,6675195.999608
4538431.499995293,6675236.9996079216,-2147483648,CORDOBA,CORDOBA,IGN,4538431.499995,6675236.999608
4538482.499995287,6675141.9996078685,-2147483648,CORDOBA,CORDOBA,IGN,4538482.499995,6675141.999608
4538753.99999525,6675021.99960779,-2147483648,CORDOBA,CORDOBA,IGN,4538753.999995,6675021.999608
4538979.499995224,6675208.9996079067,-2147483648,CORDOBA,CORDOBA,IGN,4538979.499995,6675208.999608
4539097.99999521,6675125.4996078648,-2147483648,CORDOBA,CORDOBA,IGN,4539097.999995,6675125.499608
4539267.499995188,6674968.4996077651,-2147483648,CORDOBA,CORDOBA,IGN,4539267.499995,6674968.499608
4539536.499995158,6674805.4996076683,-2147483648,CORDOBA,CORDOBA,IGN,4539536.499995,6674805.499608
4539741.499995132,6674600.4996075397,-2147483648,CORDOBA,CORDOBA,IGN,4539741.499995,6674600.499608
